Issue key,Issue id,Issue Type,Resolved,Custom field (Story Points)
SEP-12647,101633,Story,31.03.22 09:22,2.0
SEP-12056,95540,Bug,31.03.22 09:22,1.0
SEP-12865,103706,Bug,31.03.22 09:23,1.0
SEP-12787,103097,Bug,01.04.22 09:12,
SEP-12834,103454,Bug,01.04.22 09:12,
SEP-12891,103966,Bug,04.04.22 09:07,1.0
SEP-12677,101985,Bug,04.04.22 09:25,0.5
SEP-12910,104118,Bug,05.04.22 09:21,2.0
SEP-12927,104331,Bug,05.04.22 09:21,0.5
SEP-12912,104120,Bug,06.04.22 09:05,1.0
SEP-7693,54004,Story,06.04.22 09:20,8.0
SEP-12945,104496,Bug,06.04.22 09:21,1.0
SEP-12776,103025,Bug,07.04.22 09:13,1.0
SEP-12980,104710,Story,07.04.22 09:37,
SEP-12134,96184,Story,11.04.22 09:16,2.0
SEP-12282,98178,Bug,12.04.22 09:07,2.0
